#separator:comma
#html:false
#deck:Food & Cooking Japanese
#notetype:Basic
#tags column:3
刺身,"sliced raw fish
さしみ · sashimi

新鮮な刺身を注文した。
I ordered fresh sashimi.",food
寿司,"sushi
すし · sushi

回転寿司で食事をした。
I had a meal at a conveyor-belt sushi restaurant.",food
天ぷら,"tempura
てんぷら · tenpura

エビの天ぷらが好物だ。
Shrimp tempura is my favorite.",food
焼き鳥,"grilled chicken skewers
やきとり · yakitori

居酒屋で焼き鳥を頼んだ。
I ordered grilled chicken skewers at the izakaya.",food
すき焼き,"sukiyaki (hot pot dish)
すきやき · sukiyaki

家族ですき焼きを囲んだ。
The family gathered around a sukiyaki pot.",food
しゃぶしゃぶ,"shabu-shabu (hot pot)
しゃぶしゃぶ · shabushabu

薄切り肉のしゃぶしゃぶを楽しんだ。
I enjoyed shabu-shabu with thinly sliced meat.",food
味噌汁,"miso soup
みそしる · misoshiru

朝食に味噌汁を作った。
I made miso soup for breakfast.",food
だし,"broth; soup stock
だし · dashi

昆布でだしを取った。
I made broth using kelp.",food
出汁巻き卵,"Japanese rolled omelet (dashi-flavored)
だしまきたまご · dashimaki tamago

出汁巻き卵を弁当に入れた。
I put dashi-flavored rolled omelet in the lunch box.",food
漬物,"pickled vegetables
つけもの · tsukemono

ご飯と一緒に漬物を食べた。
I ate pickled vegetables with rice.",food
納豆,"fermented soybeans
なっとう · nattou

納豆をご飯にかけて食べる。
I eat fermented soybeans over rice.",food
味噌,"miso (fermented soybean paste)
みそ · miso

手作りの味噌を使っている。
I use homemade miso.",food
醤油,"soy sauce
しょうゆ · shouyu

刺身に醤油をつけて食べる。
I dip sashimi in soy sauce and eat it.",food
出汁醤油,"dashi-flavored soy sauce
だししょうゆ · dashi shouyu

出汁醤油で豆腐を食べた。
I ate tofu with dashi-flavored soy sauce.",food
みりん,"sweet rice wine (cooking)
みりん · mirin

料理にみりんを加えた。
I added mirin to the dish.",food
料理酒,"cooking sake
りょうりしゅ · ryourishu

料理酒で肉を柔らかくした。
I tenderized the meat with cooking sake.",food
出し汁,"soup stock (broth)
だしじる · dashijiru

出し汁で野菜を煮た。
I simmered the vegetables in soup stock.",food
炊き込みご飯,"rice cooked with ingredients
たきこみごはん · takikomi gohan

栗の炊き込みご飯を作った。
I made rice cooked with chestnuts.",food
おにぎり,"rice ball
おにぎり · onigiri

梅干し入りのおにぎりを作った。
I made a rice ball with pickled plum inside.",food
お茶漬け,"rice with tea poured over it
おちゃづけ · ochazuke

夜食にお茶漬けを食べた。
I had ochazuke as a late-night snack.",food
雑炊,"rice porridge (savory)
ぞうすい · zousui

風邪の時は雑炊を食べる。
I eat rice porridge when I have a cold.",food
煮物,"simmered dish
にもの · nimono

母の煮物が懐かしい。
I miss my mother's simmered dishes.",food
焼き魚,"grilled fish
やきざかな · yakizakana

サバの焼き魚を定食で食べた。
I had grilled mackerel as part of a set meal.",food
煮魚,"simmered fish
にざかな · nizakana

カレイの煮魚を作った。
I made simmered flatfish.",food
揚げ物,"fried food
あげもの · agemono

揚げ物は控えめにしている。
I try to eat fried food in moderation.",food
唐揚げ,"Japanese fried chicken
からあげ · karaage

鶏の唐揚げをお弁当に詰めた。
I packed fried chicken karaage into the lunch box.",food
とんかつ,"breaded pork cutlet
とんかつ · tonkatsu

とんかつ定食を注文した。
I ordered the tonkatsu set meal.",food
コロッケ,"croquette
ころっけ · korokke

じゃがいものコロッケを揚げた。
I fried potato croquettes.",food
焼きそば,"fried noodles
やきそば · yakisoba

屋台で焼きそばを買った。
I bought yakisoba from a food stall.",food
焼きうどん,"fried udon noodles
やきうどん · yakiudon

野菜たっぷりの焼きうどんを作った。
I made yakiudon loaded with vegetables.",food
