Japanese,English,Category,Reading point
昨日、公園で猫を見ました。,Yesterday I saw a cat in the park.,particles,は vs が
図書館で勉強します。,I study at the library.,particles,に vs で (location)
来週、東京に行きます。,I'm going to Tokyo next week.,particles,に (destination)
ちょっと待ってください。,Please wait a moment.,verb-forms,ます-form to て-form
私は肉を食べません。,I don't eat meat.,verb-forms,Negative form
友達が私にプレゼントをくれました。,My friend gave me a present.,word-choice,あげる vs くれる
姉は今、東京に住んでいます。,My older sister lives in Tokyo now.,te-form,〜ている (ongoing state)
駅に着いたら、電話してください。,Please call me when you arrive at the station.,conditionals,たら conditional
先生は明日学校にいらっしゃるそうです。,I hear the teacher will come to school tomorrow.,keigo,Honorific verbs
電車で足を踏まれました。,My foot got stepped on in the train.,passive-causative,Passive form
教室に学生が三人います。,There are three students in the classroom.,counters,Counting people
すみません、その言葉の意味が分かりません。,"Sorry, I don't understand the meaning of that word.",word-choice,知る vs 分かる
先輩に作文を直してもらいました。,I had my senior correct my essay.,giving-receiving,〜てもらう
薬を飲んだのに、熱が下がりません。,"Even though I took the medicine, my fever won't go down.",conjunctions,のに vs ので
週末、映画を見ようと思っています。,I'm thinking of watching a movie this weekend.,verb-forms,Volitional + と思う
財布に百円しかありません。,I have only 100 yen in my wallet.,particles,しか + negative
今年の冬は去年ほど寒くないです。,This winter is not as cold as last year.,comparisons,〜ほど〜ない
資料は私がお持ちします。,I will bring the materials.,keigo,Humble form
日本料理が嫌いなわけではないが、毎日は食べたくない。,"It's not that I dislike Japanese food, but I don't want to eat it every day.",reading-comprehension,〜わけではない
最近、会議に遅れがちなので気をつけたい。,"Lately I tend to be late for meetings, so I want to be careful.",word-choice,〜がち vs 〜っぽい
これは私の本です。,This is my book.,particles,の (possessive)
田中さんは学生です。私も学生です。,Tanaka-san is a student. I am a student too.,particles,も (also)
授業は九時から三時までです。,Class is from nine to three.,particles,から〜まで
昨日、友達と映画を見ました。,Yesterday I watched a movie with a friend.,verb-forms,Past tense (polite)
日本へ行きたいです。,I want to go to Japan.,verb-forms,〜たい (want to)
ここで写真を撮ってもいいですか。,May I take photos here?,te-form,〜てもいいですか
病院の中で大きい声で話してはいけません。,You must not talk loudly inside the hospital.,te-form,〜てはいけない
私は料理が得意です。,I'm good at cooking.,word-choice,上手 vs 得意
このボタンを押すと、切符が出ます。,"When you press this button, a ticket comes out.",conditionals,と (natural result)
寿司なら、駅前の店がおいしいですよ。,"If it's sushi you want, the place in front of the station is good.",conditionals,なら (topic conditional)
母は弟に野菜を食べさせました。,My mother made my little brother eat vegetables.,passive-causative,Causative form
