#separator:comma
#html:false
#deck:Japanese Onomatopoeia
#notetype:Basic
#tags column:3
わくわく,"feeling excited/thrilled
わくわく · wakuwaku

旅行を前にわくわくしている。
I'm feeling excited ahead of the trip.",onomatopoeia
どきどき,"heart pounding (nervous/excited)
どきどき · dokidoki

発表前で胸がどきどきしている。
My heart is pounding before the presentation.",onomatopoeia
はらはら,"feeling anxious/on edge
はらはら · harahara

はらはらしながら結果を待った。
I waited for the results feeling on edge.",onomatopoeia
うきうき,"feeling cheerful and buoyant
うきうき · ukiuki

うきうきした気分で出かけた。
I went out feeling cheerful and buoyant.",onomatopoeia
いらいら,"feeling irritated
いらいら · iraira

渋滞にいらいらした。
I felt irritated by the traffic jam.",onomatopoeia
むかむか,"feeling nauseous/annoyed
むかむか · mukamuka

胃がむかむかする。
My stomach feels nauseous.",onomatopoeia
びくびく,"feeling fearful/timid
びくびく · bikubiku

叱られないかとびくびくしていた。
I was timidly worried about being scolded.",onomatopoeia
おどおど,"acting nervously/timidly
おどおど · odoodo

初めての場でおどおどしてしまった。
I ended up acting nervous in the unfamiliar setting.",onomatopoeia
そわそわ,"feeling restless/fidgety
そわそわ · sowasowa

結果が気になってそわそわしている。
I'm feeling restless, worried about the result.",onomatopoeia
くよくよ,"brooding; worrying persistently
くよくよ · kuyokuyo

失敗をくよくよ気にしないほうがいい。
It's better not to brood over your mistake.",onomatopoeia
もやもや,"feeling unclear/unsettled
もやもや · moyamoya

説明を聞いてももやもやが残った。
Even after hearing the explanation, an unsettled feeling remained.",onomatopoeia
じめじめ,"damp and humid
じめじめ · jimejime

梅雨時期はじめじめしている。
It's damp and humid during the rainy season.",onomatopoeia
からっと,"dry and crisp (weather/food)
からっと · karatto

からっと晴れた秋の一日だった。
It was a dry, crisp, clear autumn day.",onomatopoeia
じりじり,"scorching (sun); slowly and steadily
じりじり · jirijiri

太陽がじりじりと照りつけた。
The sun blazed down scorchingly.",onomatopoeia
ぽかぽか,"warm and cozy
ぽかぽか · pokapoka

ぽかぽかとした春の陽気だった。
It was warm, cozy spring weather.",onomatopoeia
ひんやり,"cool to the touch
ひんやり · hin'yari

ひんやりとしたアイスが心地よい。
The cool, chilly ice cream feels good.",onomatopoeia
ぶるぶる,"shivering/trembling
ぶるぶる · buruburu

寒くてぶるぶる震えた。
I trembled, shivering from the cold.",onomatopoeia
がたがた,"rattling/shaking
がたがた · gatagata

窓が風でがたがた鳴った。
The window rattled from the wind.",onomatopoeia
ざあざあ,"pouring rain sound
ざあざあ · zaazaa

雨がざあざあ降っている。
The rain is pouring down heavily.",onomatopoeia
しとしと,"gently falling rain
しとしと · shitoshito

しとしとと雨が降り続いた。
The rain continued falling gently.",onomatopoeia
びゅうびゅう,"strong wind blowing
びゅうびゅう · byuubyuu

外は風がびゅうびゅう吹いている。
Outside, the wind is blowing hard.",onomatopoeia
そよそよ,"a gentle breeze
そよそよ · soyosoyo

そよそよと風が吹いていた。
A gentle breeze was blowing.",onomatopoeia
ごろごろ,"rolling around; rumbling (thunder)
ごろごろ · gorogoro

休日は家でごろごろしている。
On holidays I just lounge around at home.",onomatopoeia
ぴかぴか,"shiny; sparkling
ぴかぴか · pikapika

床をぴかぴかに磨いた。
I polished the floor until it was sparkling.",onomatopoeia
きらきら,"glittering; twinkling
きらきら · kirakira

星がきらきらと輝いていた。
The stars were glittering and shining.",onomatopoeia
ぎらぎら,"glaring; dazzling (intense light)
ぎらぎら · giragira

太陽がぎらぎらと照っている。
The sun is shining dazzlingly bright.",onomatopoeia
どんより,"gloomy; overcast
どんより · donyori

空がどんより曇っている。
The sky is gloomily overcast.",onomatopoeia
からから,"parched; completely dry
からから · karakara

喉がからからに乾いた。
My throat became completely parched.",onomatopoeia
べたべた,"sticky
べたべた · betabeta

手がべたべたして気持ち悪い。
My hands are sticky and it feels gross.",onomatopoeia
さらさら,"smooth and dry (texture); flowing
さらさら · sarasara

さらさらの髪がうらやましい。
I'm envious of her smooth, silky hair.",onomatopoeia
ふわふわ,"soft and fluffy
ふわふわ · fuwafuwa

ふわふわのクッションを買った。
I bought a soft, fluffy cushion.",onomatopoeia
ごつごつ,"rough and rugged (surface)
ごつごつ · gotsugotsu

ごつごつした岩肌を登った。
I climbed the rough, rugged rock surface.",onomatopoeia
つるつる,"smooth and slippery
つるつる · tsurutsuru

床が凍ってつるつる滑る。
The floor is frozen and slippery.",onomatopoeia
ざらざら,"rough; gritty texture
ざらざら · zarazara

表面がざらざらしている。
The surface is rough and gritty.",onomatopoeia
ぬるぬる,"slimy
ぬるぬる · nurunuru

魚の体がぬるぬるしている。
The fish's body is slimy.",onomatopoeia
ぷよぷよ,"soft and squishy
ぷよぷよ · puyopuyo

赤ちゃんのほっぺがぷよぷよだ。
The baby's cheeks are soft and squishy.",onomatopoeia
がりがり,"crunching; scraping sound
がりがり · garigari

氷をがりがりとかじった。
I crunched on the ice.",onomatopoeia
ぼりぼり,"munching/scratching sound
ぼりぼり · boribori

せんべいをぼりぼり食べた。
I munched on the rice crackers.",onomatopoeia
もぐもぐ,"chewing slowly
もぐもぐ · mogumogu

パンをもぐもぐと食べていた。
I was slowly chewing the bread.",onomatopoeia
ぺろぺろ,"licking repeatedly
ぺろぺろ · peropero

アイスをぺろぺろなめた。
I licked the ice cream.",onomatopoeia
がぶがぶ,"gulping down (drink)
がぶがぶ · gabugabu

水をがぶがぶ飲んだ。
I gulped down the water.",onomatopoeia
ちびちび,"sipping little by little
ちびちび · chibichibi

お酒をちびちび飲んだ。
I sipped the alcohol little by little.",onomatopoeia
ぐびぐび,"gulping down loudly (drink)
ぐびぐび · gubigubi

のどが渇いてぐびぐび飲んだ。
I was thirsty and gulped it down.",onomatopoeia
ぱくぱく,"eating with open mouth (rapidly)
ぱくぱく · pakupaku

子供がおやつをぱくぱく食べた。
The child gobbled up the snack.",onomatopoeia
むしゃむしゃ,"munching heartily
むしゃむしゃ · mushamusha

おにぎりをむしゃむしゃ食べた。
I munched heartily on the rice ball.",onomatopoeia
ぐつぐつ,"simmering; bubbling
ぐつぐつ · gutsugutsu

鍋がぐつぐつ煮えている。
The pot is simmering and bubbling.",onomatopoeia
じゅうじゅう,"sizzling sound
じゅうじゅう · juujuu

肉がじゅうじゅう焼ける音がした。
There was the sound of meat sizzling.",onomatopoeia
ぱちぱち,"crackling; clapping sound
ぱちぱち · pachipachi

焚き火がぱちぱちと音を立てた。
The bonfire crackled.",onomatopoeia
ぱりぱり,"crisp; crackling sound
ぱりぱり · paripari

海苔がぱりぱりで美味しい。
The seaweed is crisp and delicious.",onomatopoeia
しんなり,"wilted; softened (vegetables)
しんなり · shinnari

野菜がしんなりするまで炒めた。
I stir-fried the vegetables until they wilted.",onomatopoeia
にこにこ,"smiling happily
にこにこ · nikoniko

赤ちゃんがにこにこ笑っている。
The baby is smiling happily.",onomatopoeia
にやにや,"smirking; grinning
にやにや · niyaniya

何を思い出したのかにやにやしている。
He's grinning, thinking of something.",onomatopoeia
げらげら,"laughing loudly
げらげら · geragera

面白い話にげらげら笑った。
I laughed loudly at the funny story.",onomatopoeia
くすくす,"giggling quietly
くすくす · kusukusu

友人とくすくす笑い合った。
My friend and I giggled quietly together.",onomatopoeia
しくしく,"sobbing quietly
しくしく · shikushiku

子供がしくしく泣いていた。
The child was sobbing quietly.",onomatopoeia
わんわん,"crying loudly (also: dog bark)
わんわん · wanwan

転んでわんわん泣いた。
He fell down and cried loudly.",onomatopoeia
めそめそ,"whimpering; sniveling
めそめそ · mesomeso

いつまでもめそめそしないで。
Don't keep whimpering forever.",onomatopoeia
ぐったり,"exhausted; limp
ぐったり · guttari

暑さでぐったりしてしまった。
I became exhausted from the heat.",onomatopoeia
へとへと,"utterly exhausted
へとへと · hetoheto

長時間労働でへとへとだ。
I'm utterly exhausted from working long hours.",onomatopoeia
くたくた,"worn out; tired
くたくた · kutakuta

引っ越し作業でくたくたになった。
I got worn out from the moving work.",onomatopoeia
ぴんぴん,"lively; in good health
ぴんぴん · pinpin

祖父は九十歳でもぴんぴんしている。
My grandfather is lively even at ninety.",onomatopoeia
すやすや,"sleeping peacefully
すやすや · suyasuya

赤ちゃんがすやすや眠っている。
The baby is sleeping peacefully.",onomatopoeia
ぐうぐう,"snoring loudly
ぐうぐう · guuguu

父がぐうぐういびきをかいている。
My father is snoring loudly.",onomatopoeia
うとうと,"dozing off
うとうと · utouto

電車の中でうとうとしてしまった。
I ended up dozing off on the train.",onomatopoeia
ぼんやり,"absent-mindedly; vaguely
ぼんやり · bon'yari

窓の外をぼんやり眺めた。
I gazed absent-mindedly out the window.",onomatopoeia
きょろきょろ,"looking around restlessly
きょろきょろ · kyorokyoro

周りをきょろきょろ見回した。
I looked around restlessly.",onomatopoeia
じろじろ,"staring intently
じろじろ · jirojiro

じろじろ見られて恥ずかしかった。
I was embarrassed being stared at.",onomatopoeia
ちらちら,"glancing repeatedly; flickering
ちらちら · chirachira

時計をちらちら見ていた。
I kept glancing at the clock.",onomatopoeia
じっと,"staying still; staring fixedly
じっと · jitto

じっと座って待った。
I sat still and waited.",onomatopoeia
うろうろ,"wandering aimlessly
うろうろ · urouro

駅の周りをうろうろしていた。
I was wandering aimlessly around the station.",onomatopoeia
のろのろ,"moving slowly
のろのろ · noronoro

渋滞でのろのろ運転になった。
It became slow-moving driving due to the traffic jam.",onomatopoeia
さっさと,"quickly; promptly
さっさと · sassato

さっさと片付けを済ませた。
I quickly finished tidying up.",onomatopoeia
てきぱき,"efficiently; briskly
てきぱき · tekipaki

てきぱきと仕事をこなした。
She handled the work briskly and efficiently.",onomatopoeia
ばたばた,"hectic; running around busily
ばたばた · batabata

朝からばたばたしている。
It's been hectic since morning.",onomatopoeia
どたばた,"noisy commotion; hustle and bustle
どたばた · dotabata

引っ越しでどたばたしていた。
There was a hustle and bustle from the move.",onomatopoeia
すたすた,"walking briskly
すたすた · sutasuta

すたすたと歩いて先に行った。
He walked briskly ahead.",onomatopoeia
とぼとぼ,"trudging wearily
とぼとぼ · tobotobo

疲れてとぼとぼ歩いた。
I trudged wearily, tired out.",onomatopoeia
よちよち,"toddling
よちよち · yochiyochi

赤ちゃんがよちよち歩いている。
The baby is toddling along.",onomatopoeia
ふらふら,"staggering; feeling dizzy
ふらふら · furafura

熱でふらふらする。
I feel dizzy from the fever.",onomatopoeia
よろよろ,"tottering; wobbling
よろよろ · yoroyoro

疲れてよろよろと歩いた。
I walked tottering, exhausted.",onomatopoeia
どすん,"a heavy thud
どすん · dosun

荷物をどすんと置いた。
I set the luggage down with a heavy thud.",onomatopoeia
ばたん,"a bang (door slamming)
ばたん · batan

ドアがばたんと閉まった。
The door slammed shut with a bang.",onomatopoeia
がしゃん,"a crashing/shattering sound
がしゃん · gashan

皿ががしゃんと割れた。
The plate shattered with a crash.",onomatopoeia
どんっ,"a bang/thud (impact)
どんっ · don

どんっと肩がぶつかった。
My shoulder bumped into something with a thud.",onomatopoeia
こつこつ,"tapping sound; steadily (diligently)
こつこつ · kotsukotsu

こつこつと貯金を続けている。
I keep steadily saving money little by little.",onomatopoeia
かちかち,"ticking sound; rock hard
かちかち · kachikachi

時計がかちかちと音を立てる。
The clock makes a ticking sound.",onomatopoeia
ぴりぴり,"tingling; on edge (nerves)
ぴりぴり · piripiri

辛い物を食べて舌がぴりぴりする。
My tongue is tingling from eating spicy food.",onomatopoeia
ずきずき,"throbbing pain
ずきずき · zukizuki

頭がずきずき痛む。
My head is throbbing with pain.",onomatopoeia
がんがん,"pounding (headache); intensely
がんがん · gangan

二日酔いで頭ががんがんする。
My head is pounding from the hangover.",onomatopoeia
ちくちく,"prickling; stinging
ちくちく · chikuchiku

セーターが肌にちくちくする。
The sweater prickles against my skin.",onomatopoeia
ひりひり,"stinging pain (sunburn etc.)
ひりひり · hirihiri

日焼けした肌がひりひりする。
My sunburned skin is stinging.",onomatopoeia
むずむず,"itchy; restless urge
むずむず · muzumuzu

虫刺されがむずむずかゆい。
The insect bite itches restlessly.",onomatopoeia
がくがく,"shaking; wobbly (legs)
がくがく · gakugaku

緊張で膝ががくがく震えた。
My knees shook wobbly from nervousness.",onomatopoeia
ぴくぴく,"twitching
ぴくぴく · pikupiku

まぶたがぴくぴく痙攣した。
My eyelid twitched with a spasm.",onomatopoeia
どきっと,"a sudden startled heartbeat
どきっと · dokitto

名前を呼ばれてどきっとした。
My heart skipped a beat when my name was called.",onomatopoeia
ひやっと,"a chill of fear/surprise
ひやっと · hiyatto

車にぶつかりそうになりひやっとした。
I felt a chill of fear as I almost hit a car.",onomatopoeia
ぎくっと,"startled with guilt/shock
ぎくっと · gikutto

指摘されてぎくっとした。
I was startled with guilt when it was pointed out.",onomatopoeia
はっと,"suddenly realizing/startled
はっと · hatto

忘れ物にはっと気づいた。
I suddenly realized I'd forgotten something.",onomatopoeia
