#separator:comma
#html:false
#deck:Travel Japanese
#notetype:Basic
#tags column:3
空港,"airport
くうこう · kuukou

空港でチェックインをした。
I checked in at the airport.",travel
搭乗券,"boarding pass
とうじょうけん · toujouken

搭乗券を見せてください。
Please show me your boarding pass.",travel
手荷物,"baggage; carry-on luggage
てにもつ · tenimotsu

手荷物は一つまでです。
You may bring only one piece of carry-on luggage.",travel
預け荷物,"checked baggage
あずけにもつ · azuke nimotsu

預け荷物を受け取った。
I picked up my checked baggage.",travel
税関,"customs
ぜいかん · zeikan

税関で荷物を検査された。
My luggage was inspected at customs.",travel
入国審査,"immigration inspection
にゅうこくしんさ · nyuukoku shinsa

入国審査に長い列ができていた。
There was a long line at immigration.",travel
パスポート,"passport
ぱすぽーと · pasupooto

パスポートを忘れずに持ってきた。
I remembered to bring my passport.",travel
ビザ,"visa
びざ · biza

観光ビザを申請した。
I applied for a tourist visa.",travel
両替,"currency exchange
りょうがえ · ryougae

空港で円に両替した。
I exchanged money for yen at the airport.",travel
乗り換え,"transfer (train/flight)
のりかえ · norikae

新宿駅で乗り換えが必要だ。
A transfer is necessary at Shinjuku Station.",travel
直行便,"direct flight
ちょっこうびん · chokkoubin

直行便のチケットを予約した。
I booked a ticket for a direct flight.",travel
時刻表,"timetable
じこくひょう · jikokuhyou

バスの時刻表を確認した。
I checked the bus timetable.",travel
改札口,"ticket gate
かいさつぐち · kaisatsuguchi

改札口で切符を通した。
I passed my ticket through the ticket gate.",travel
切符売り場,"ticket counter
きっぷうりば · kippu uriba

切符売り場で乗車券を買った。
I bought a ticket at the ticket counter.",travel
自動券売機,"automatic ticket machine
じどうけんばいき · jidou kenbaiki

自動券売機でチケットを購入した。
I purchased a ticket from the automatic ticket machine.",travel
路線図,"route map
ろせんず · rosenzu

路線図を見て乗り換えを確認した。
I checked the route map to confirm the transfer.",travel
始発,"first train
しはつ · shihatsu

始発電車に乗って出発した。
I departed on the first train.",travel
終電,"last train
しゅうでん · shuuden

終電を逃してしまった。
I missed the last train.",travel
満室,"fully booked (rooms)
まんしつ · manshitsu

人気の宿は満室だった。
The popular inn was fully booked.",travel
宿泊,"lodging; staying overnight
しゅくはく · shukuhaku

京都で三泊宿泊する予定だ。
I plan to stay overnight for three nights in Kyoto.",travel
チェックイン,"check-in
ちぇっくいん · chekkuin

ホテルに午後三時にチェックインした。
I checked in at the hotel at 3 p.m.",travel
チェックアウト,"check-out
ちぇっくあうと · chekkuauto

朝十時にチェックアウトする。
I will check out at 10 a.m.",travel
民宿,"guesthouse; family-run inn
みんしゅく · minshuku

温泉地の民宿に泊まった。
I stayed at a guesthouse in the hot spring town.",travel
旅館,"traditional Japanese inn
りょかん · ryokan

老舗の旅館に宿泊した。
I stayed at a long-established traditional inn.",travel
相部屋,"shared room
あいべや · aibeya

格安の相部屋を予約した。
I booked a cheap shared room.",travel
個室,"private room
こしつ · koshitsu

個室のある食堂を選んだ。
I chose a restaurant with private rooms.",travel
露天風呂,"open-air bath
ろてんぶろ · rotenburo

露天風呂で景色を楽しんだ。
I enjoyed the scenery from the open-air bath.",travel
貸切,"private hire; reserved exclusively
かしきり · kashikiri

貸切風呂を予約した。
I reserved a private bath.",travel
観光案内所,"tourist information center
かんこうあんないじょ · kankou annaijo

駅前の観光案内所で地図をもらった。
I got a map at the tourist information center in front of the station.",travel
名所,"famous scenic spot
めいしょ · meisho

この町の名所を巡った。
I toured the famous spots of this town.",travel
名物,"local specialty
めいぶつ · meibutsu

この地域の名物を食べてみた。
I tried this region's local specialty.",travel
土産物店,"souvenir shop
みやげものてん · miyagemono ten

土産物店で友人へのお土産を選んだ。
I chose souvenirs for my friends at the souvenir shop.",travel
見どころ,"a highlight; worth seeing
みどころ · midokoro

このお寺の見どころを教えてもらった。
I was told the highlights of this temple.",travel
世界遺産,"World Heritage site
せかいいさん · sekai isan

世界遺産に登録された神社を訪れた。
I visited a shrine registered as a World Heritage site.",travel
展望台,"observation deck
てんぼうだい · tenboudai

展望台から街全体を見渡せた。
I could see the whole city from the observation deck.",travel
入場料,"admission fee
にゅうじょうりょう · nyuujouryou

美術館の入場料を払った。
I paid the admission fee at the art museum.",travel
周遊券,"excursion pass; tour ticket
しゅうゆうけん · shuuyuuken

お得な周遊券を利用した。
I used a good-value excursion pass.",travel
レンタカー,"rental car
れんたかー · rentakaa

レンタカーを借りて島を回った。
I rented a car and drove around the island.",travel
道に迷う,"to get lost
みちにまよう · michi ni mayou

知らない街で道に迷ってしまった。
I got lost in an unfamiliar town.",travel
迷子,"a lost child/person
まいご · maigo

迷子になった子供を保護した。
They took in a lost child.",travel
忘れ物,"lost item; something left behind
わすれもの · wasuremono

電車に忘れ物をしてしまった。
I left something behind on the train.",travel
遺失物,"lost property
いしつぶつ · ishitsubutsu

遺失物センターに問い合わせた。
I inquired at the lost property center.",travel
荷物預かり所,"baggage storage
にもつあずかりじょ · nimotsu azukarijo

荷物預かり所にスーツケースを預けた。
I left my suitcase at the baggage storage.",travel
両替所,"currency exchange counter
りょうがえじょ · ryougaejo

駅の両替所でドルを両替した。
I exchanged dollars at the station's exchange counter.",travel
現地,"the local area; on-site
げんち · genchi

現地の言葉を少し覚えた。
I learned a bit of the local language.",travel
現地時間,"local time
げんちじかん · genchi jikan

現地時間で夜の九時に到着した。
I arrived at 9 p.m. local time.",travel
時差,"time difference; jet lag
じさ · jisa

時差ぼけがなかなか治らない。
My jet lag isn't going away easily.",travel
入国手続き,"entry procedures
にゅうこくてつづき · nyuukoku tetsuzuki

入国手続きに時間がかかった。
The entry procedures took time.",travel
出国,"departure (from a country)
しゅっこく · shukkoku

出国審査を無事に終えた。
I successfully finished the departure inspection.",travel
免税店,"duty-free shop
めんぜいてん · menzeiten

免税店でお酒を買った。
I bought alcohol at the duty-free shop.",travel
急行,"express train
きゅうこう · kyuukou

急行電車に乗って時間を短縮した。
I took the express train to save time.",travel
各駅停車,"local train (stops at every station)
かくえきていしゃ · kakueki teisha

各駅停車でのんびり移動した。
I traveled leisurely on the local train.",travel
特急券,"limited express ticket
とっきゅうけん · tokkyuuken

特急券を追加で購入した。
I purchased an additional limited express ticket.",travel
指定席,"reserved seat
していせき · shiteiseki

指定席を事前に予約した。
I reserved a seat in advance.",travel
自由席,"non-reserved seat
じゆうせき · jiyuuseki

自由席に並んで座った。
I lined up and sat in a non-reserved seat.",travel
新幹線,"bullet train
しんかんせん · shinkansen

新幹線で大阪まで移動した。
I traveled to Osaka by bullet train.",travel
車内アナウンス,"in-train announcement
しゃないあなうんす · shanai anaunsu

車内アナウンスで次の駅を確認した。
I confirmed the next station from the in-train announcement.",travel
満員電車,"packed train
まんいんでんしゃ · man'in densha

朝の満員電車に揉まれた。
I got jostled in the packed morning train.",travel
運休,"service suspension
うんきゅう · unkyuu

大雪でバスが運休になった。
The bus service was suspended due to heavy snow.",travel
遅延,"delay
ちえん · chien

人身事故で電車が遅延した。
The train was delayed due to an accident.",travel
振替輸送,"alternative transport arrangement
ふりかえゆそう · furikae yusou

振替輸送で他の路線を利用した。
I used another line through the alternative transport arrangement.",travel
乗車券,"train ticket
じょうしゃけん · joushaken

乗車券を改札で提示した。
I presented my ticket at the gate.",travel
