#separator:comma
#html:false
#deck:Business Japanese
#notetype:Basic
#tags column:3
名刺,"business card
めいし · meishi

初対面で名刺を交換した。
We exchanged business cards at our first meeting.",business
名刺交換,"exchanging business cards
めいしこうかん · meishi koukan

名刺交換のマナーを教わった。
I was taught the manners for exchanging business cards.",business
出社,"coming to the office
しゅっしゃ · shussha

九時に出社する予定だ。
I plan to come to the office at 9.",business
退社,"leaving the office (also: resigning)
たいしゃ · taisha

定時に退社することができた。
I was able to leave the office on time.",business
出張,"business trip
しゅっちょう · shucchou

来週、大阪へ出張する。
I will go on a business trip to Osaka next week.",business
直行直帰,"going directly to/from a work destination
ちょっこうちょっき · chokkou chokki

取引先へ直行直帰する予定だ。
I plan to go directly to and from the client's office.",business
在宅勤務,"remote work (working from home)
ざいたくきんむ · zaitaku kinmu

週三日は在宅勤務にしている。
I work remotely three days a week.",business
テレワーク,"telework
てれわーく · terewaaku

テレワークを導入する企業が増えた。
More companies have introduced telework.",business
フレックスタイム,"flextime
ふれっくすたいむ · furekkusu taimu

フレックスタイム制を利用している。
I use the flextime system.",business
時短勤務,"shortened working hours (esp. for childcare)
じたんきんむ · jitan kinmu

育児のため時短勤務をしている。
I work shortened hours for childcare reasons.",business
残業,"overtime work
ざんぎょう · zangyou

締め切り前は残業が続いた。
Overtime continued before the deadline.",business
サービス残業,"unpaid overtime
さーびすざんぎょう · saabisu zangyou

サービス残業を強いられていた。
He was forced to do unpaid overtime.",business
有給休暇,"paid leave
ゆうきゅうきゅうか · yuukyuu kyuuka

有給休暇を取って旅行した。
I took paid leave and traveled.",business
忌引き,"bereavement leave
きびき · kibiki

祖母が亡くなり忌引きを取った。
My grandmother passed away, so I took bereavement leave.",business
産休,"maternity leave
さんきゅう · sankyuu

来月から産休に入る。
I will start maternity leave next month.",business
育休,"childcare leave
いくきゅう · ikukyuu

夫も育休を取得した。
My husband also took childcare leave.",business
人事異動,"personnel transfer/reshuffle
じんじいどう · jinji idou

来月の人事異動が発表された。
Next month's personnel reshuffle was announced.",business
転勤,"job relocation (transfer)
てんきん · tenkin

大阪支社へ転勤することになった。
I ended up being transferred to the Osaka branch.",business
栄転,"promotion (with transfer)
えいてん · eiten

栄転の辞令を受け取った。
He received an order for a promotional transfer.",business
昇進,"promotion
しょうしん · shoushin

部長に昇進した。
I was promoted to department manager.",business
昇格,"rank promotion
しょうかく · shoukaku

係長から課長に昇格した。
He was promoted from section chief to section manager.",business
